"key";"DE";"EN"
"RUSSIA";"Russland";"Russia"
"SERBIA";"Serbien";"Serbia"
"SYRIA";"Syrien";"Syria"
"TURKEY";"Türkei";"Turkey"
"UK";"GB";"UK"
"ALBANIAN";"Albanisch";"Albanian"
"ARABIC";"Arabisch";"Arabic"
"BRITISH";"Britisch";"British"
"BULGARIAN";"Bulgarisch";"Bulgarian"
"CHINESE";"Chinesisch";"Chinese"
"GERMAN";"Deutsch";"German"
"ENGLISH";"Englisch";"English"
"FARSI/DARI";"Persisch";"Farsi/Dari"
"GREEK";"Griechisch";"Greek"
"ITALIAN";"Italienisch";"Italian"
"KURDISH";"Kurdisch";"Kurdish"
"PASHTO";"Paschto";"Pashto"
"POLISH";"Polnisch";"Polish"
"ROMANIAN";"Rumänisch";"Romanian"
"RUSSIAN";"Russisch";"Russian"
"SERBIAN";"Serbisch";"Serbian"
"TURKISH";"Türkisch";"Turkish"
"OTHER";"Andere";"Other"
"NONE";"Keine";"None"
"YEAR";"Jahr";"Year"
"MONTH";"Monat";"Month"
"SYRIAN";"Syrisch";"Syrian"
"OTHER_NATIONALITY";"Andere Nationalität";"Other nationality"
"OTHER_COUNTRY";"Anderes Land";"Other country"
"OTHER_LANGUAGE";"Andere Sprache";"Other language"
"IRAQI";"Irakisch";"Iraqi"
"KOSOVAN";"Kosovarisch";"Kosovan"
"IRANIAN";"Iranisch";"Iranian"
"AFGHAN";"Afghanisch";"Afghan"
"UK";"Großbritannien";"United Kingdom"
"AFGHANISTAN";"Afghanistan";"Afghanistan"
"FARSI/DARI";"Persisch";"Farsi/Dari"
"PASHTO";"Paschtunisch";"Pashto"
"CHOOSE_ANSWER";"Wähle zuerst eine Antwort aus!";"You have to first choose an answer!"
"CHOOSE_AT_LEAST_ONE_ANSWER";"Wähle mindestens eine Antwort aus!";"Please select at least one answer!"
"SELECT_MONTH";"Bitte Monat auswählen!";"Select month, please!"
"SELECT_YEAR";"Bitte Jahr auswählen!";"Select year, please!"
"E.G.";"z.B.";"e.g."
"SELECT_MONTH_AND_YEAR";"Bitte Monat und Jahr auswählen!";"Select month and year, please!"
"ENTER_ID";"Bitte gib Deine ID ein";"Please enter your ID"
